type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
xbk,91317-1,,8,,,,,,,,,,,,,,,,
xbk,91318-1,,8,,,,,,,,,,,,,,,,
xbk,91320-1,,8,,,,,,,,,,,,,,,,
xbk,91321-1,,8,,,,,,,,,,,,,,,,
xbk,91322-1,,8,,,,,,,,,,,,,,,,
xbk,91323-1,,8,,,,,,,,,,,,,,,,
xbk,91324-1,,8,,,,,,,,,,,,,,,,
xbk,91325-1,,8,,,,,,,,,,,,,,,,
xbk,91780-1,,24,,,,,,,,,,,,,,,,
,21440,Management Skills,6,0,,,,,,,,,,,,,,,
,21506,International Business Capstone,6,,,,,,,,,,,,,,,,
,21555,Introduction to Human Resource Management,6,0,,,,,,,,,,,,,,,
,21595,International Management Field Study,6,,,,,,,,,,,,,,,,
,21999,Business Internship,6,,,,,,,,,,,,,,,,
,22319,Financial Statement Analysis (Capstone),6,,,,,,,,,,,,,,,,
,22421,Management Decisions and Control,6,,,,,,,,,,,,,,,,
,22522,Assurance Services and Audit,6,,,,,,,,,,,,,,,,
,23002,Market Design,6,,,,,,,,,,,,,,,,
,23005,Behavioural Economics,6,,,,,,,,,,,,,,,,
,23021,Labour Economics,6,,,,,,,,,,,,,,,,
,23022,Public Economics,6,,,,,,,,,,,,,,,,
,23115,Economics for Business,6,,,,,,,,,,,,,,,,
,23418,Economics of Money and Finance,6,,,,,,,,,,,,,,,,
,23504,Economics of Competition and Strategy,6,,,,,,,,,,,,,,,,
,23565,Mathematics for Economy and Businenss,6,,,,,,,,,,,,,,,,
,23566,Economics for Business 2,6,,,,,,,,,,,,,,,,
,23567,Intermediate Microeconomics,6,,,,,,,,,,,,,,,,
,23568,Intermediate Macroeconomics,6,,,,,,,,,,,,,,,,
,23569,Economic Growth and Development,6,,,,,,,,,,,,,,,,
,23570,Economics of the Environment,6,,,,,,,,,,,,,,,,
,23571,Introductory Econometrics,6,,,,,,,,,,,,,,,,
,23572,Applied Microeconometrics,6,,,,,,,,,,,,,,,,
,23580,The Global Economy (Capstone),6,,,,,,,,,,,,,,,,
,23592,Game Theory,6,,,,,,,,,,,,,,,,
,23999,Business Internship,6,,,,,,,,,,,,,,,,
,24101,Applied Project in Advertising and Marketing Communication,6,,,,,,,,,,,,,,,,
,24104,Digital Marketing and Social Media,6,,,,,,,,,,,,,,,,
,24205,Business-to-Business Marketing,6,,,,,,,,,,,,,,,,
,24207,Media Planning,6,,,,,,,,,,,,,,,,
,24220,International Marketing,6,,,,,,,,,,,,,,,,
,24306,Services Marketing,6,,,,,,,,,,,,,,,,
,24309,Marketing Research,6,,,,,,,,,,,,,,,,
,24510,Advertising Research,6,,,,,,,,,,,,,,,,
,25300,Fundamentals of Business Finance,6,0,,,,,,,,,,,,,,,
,25410,Corporate Financial Analysis (Capstone),6,,,,,,,,,,,,,,,,
,25421,International Financial Management,6,,,,,,,,,,,,,,,,
